Manual Score,Manual Hospital Address,address_py,Levenshtein Distance,Jaro Wrinkler Distance,Jaccard Distance,Cosine Distance,Monge Elkan Distance *100,BWTRLENCD Distance,Monge Elkan Distance *10
0.45,"218 L Model Town, Atlas Road, Sonipat, Haryana","Sonipat, Haryana, 131001, India",0.217391304,0.509168355,0.452830189,0.63555257,0.008034026,0.146341463,0.08034026
0.8,"Deo, Aurangabad, Bihar","Deo, Aurangabad District, Bihar, India",0.578947368,0.888516746,0.578947368,0.76088591,0.022727273,0.128205128,0.22727273
0.65,"Surat, Gujarat","CHC, Areth, SH65, Areth, Mandvi Taluka, Surat, Gujarat, 394163, India",0.202898551,0.527166071,0.202898551,0.450442616,0.035714286,0.098360656,0.35714286
0.6,"Shivaji Ward, Sagar, Madhya Pradesh","Sagar, Sagar Tahsil, Sagar, Madhya Pradesh, 470001, India",0.473684211,0.670073032,0.533333333,0.716437861,0.013061224,0.244897959,0.13061224
0.65,"Khorda, Odisha","Central Hospital, Rangamatia Tala Sahi Road, Ward 9, North Zone, Bhubaneswar Municipal Corporation, Bhubaneswar (M.Corp.), Khordha, Odisha, 751017, India",0.091503268,0.478524743,0.091503268,0.302495071,0.035714286,0.014814815,0.35714286
0.6,"Arya Samaj Road, Fazilka, Punjab","Fazilka, Fazilka Tahsil, Fazilka District, Punjab, 152123, India",0.328125,0.547780797,0.352112676,0.552427173,0.012695313,0.185185185,0.12695313
0.5,"No 67, BGS Global Health And Education City, Uttarahalli Road, Kengeri, BLR 60, Bangalore, Karnataka","Adichunchanagiri Shikshana Trust, Dr. Vishnuvardhan Road, Reflex Layout, Hemmigepura, Rajarajeshwari Nagar Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, 560060, India",0.291208791,0.617436339,0.46875,0.667124385,0.00475,0.051282051,0.0475
0.65,"17A/22 K P Kakkar Road, Allahabad, Uttar Pradesh","Amardeep Hospital & Research Centre, Zero Road, George Town, Prayagraj, Uttar Pradesh, 211003, India",0.3,0.559722222,0.345454545,0.548482756,0.008897569,0.054347826,0.08897569
0.4,"16/72 Civil Lines Kanpur, Kanpur Nagar, Uttar Pradesh","Kanpur, Kanpur Nagar, Uttar Pradesh, 208012, India",0.377358491,0.67653757,0.661290323,0.796454407,0.008187967,0.326530612,0.08187967
0.6,"91 A Millers Road, Kilpauk, Chennai, Tamil Nadu","Ayesha Hospital, Kilpauk, Millers Road, CMWSSB Division 103, Ward 103, Zone 8 Anna Nagar, Chennai, Chennai District, Tamil Nadu, 600010, India",0.274647887,0.576446142,0.321678322,0.563073036,0.010411951,0.084615385,0.10411951
0.7,"Madurai, Tamil Nadu","Bright Hospital, Dr. Thangaraj Salai, Anna Nagar, Madurai, Madurai South, Madurai District, Tamil Nadu, 625020, India",0.162393162,0.570775229,0.162393162,0.40298035,0.026315789,0.104166667,0.26315789
0.65,"Kuvempunagar, Mysore, Karnataka","Apollo Hospital, Adichunchangiri Road, Kuvempunagara, Mysuru, Mysuru taluk, Mysuru district, Karnataka, 570001, India",0.247863248,0.578357086,0.254237288,0.498135481,0.016129032,0.069306931,0.16129032
0.55,"BSF, Durtlang, Aizawl, Mizoram","Ebenezar Hospital Area, Tuikual Bridge, Aizawl, Tlangnuam, Aizwal, Mizoram, 796190, India",0.269662921,0.565754346,0.293478261,0.522526275,0.015,0.075,0.15
0.4,"Odhav Urban Health Center, Near Ranchhodji Tempale, Rabari Vashat, Odhav, Ahmedabad, Gujarat","Shastri Nagar, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India",0.173913043,0.667757363,0.577586207,0.73225137,0.004784972,0.109756098,0.04784972
0.4,"Chandra Shekhar Azad Nagar Bhabhra, Alirajpur, Madhya Pradesh","NH56, Bhabra, Bhavra Tehsil, Alirajpur, Madhya Pradesh, 457882, India",0.391304348,0.66199414,0.56626506,0.724449964,0.007524859,0.171875,0.07524859
0.65,"5, Church Road, Civil Lines, Ram Nagar Colony, Agra, Uttar Pradesh","Civil Lines, Agra, Uttar Pradesh, 282002, India",0.287878788,0.56564985,0.527027027,0.700234832,0.006313131,0.13559322,0.06313131
0.4,"Tanda Road, Near KMV College, Jalandhar, Punjab","Jalandhar, Jalandhar I Tahsil, Jalandhar, Punjab, 144001, India",0.396825397,0.623888326,0.466666667,0.643204154,0.007922137,0.265306122,0.07922137
0.5,"Referral Hospital Samuhik Aarogya Kendra Gambhoi, Sabarkantha, Gujarat","NH48, Himatnagar, Himatnagar Taluka, Sabar Kantha District, Gujarat, 383001, India",0.219512195,0.622996516,0.504950495,0.673153689,0.006020408,0.013157895,0.06020408
0.3,"Algapur Bazar, Hailakandi, Assam","Katigora, Cachar, Assam, 788025, India",0.263157895,0.603967305,0.458333333,0.630893268,0.01171875,0.083333333,0.1171875
0.7,"Sedam Road, Gulbarga, Kalaburagi, Karnataka","Basaveshwara Hospital, Sedam Road, Rajapura, Kalaburagi, Kalaburagi taluku, Kalaburagi district, Karnataka, 585101, India",0.347107438,0.625899067,0.344262295,0.582267269,0.011357491,0.12244898,0.11357491
0.65,"CHC Bidadi, Ramanagar, Karnataka","Government Hospital, Bidadi, Bengaluru - Mysuru Road, Bidadi, Ramanagara taluk, Ramanagara district, Karnataka, 562109, India",0.24,0.563324713,0.236220472,0.474341649,0.014648438,0.162162162,0.14648438
0.4,"Main Road Patan, Palamau, Jharkhand","Semrī, Madariā, Pātan, Patan, Palamu, Jharkhand, 822123, India",0.467741935,0.703826281,0.515625,0.708409005,0.013469388,0.137254902,0.13469388
0.55,"No.1, Alamu Nagar, Sathy Main Road, Gandhipuram, Coimbatore, Tamil Nadu","Ashwin Hospital, NH948, Ward 48, Central Zone, Coimbatore, Coimbatore North, Coimbatore District, Tamil Nadu, 641012, India",0.333333333,0.601895834,0.447761194,0.642050991,0.006347947,0.155339806,0.06347947
0.45,"2/344 A Azad Nagar, Kanpur Nagar, Uttar Pradesh","Kanpur, Kanpur Nagar, Uttar Pradesh, 208012, India",0.38,0.662512665,0.590163934,0.742623297,0.009053871,0.306122449,0.09053871
0.7,"Near Pukhraj Hospital, Ramnagar, Sabarmati, Ahmedabad, Gujarat","Sabarmati Development Society Sanchalit Sheth Shri Pukhraj Raichand General Hospital, Bulkhidas Road, Sabarmati, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380005, India",0.291005291,0.613351134,0.314136126,0.554273995,0.00780437,0.130434783,0.0780437
0.15,"Nellore, Nellor, Andhra Pradesh","Gudur Market, Hospital Road, Gudur, Tirupati, Andhra Pradesh, 524101, India",0.306666667,0.545286738,0.292682927,0.497736813,0.01508845,0.073529412,0.1508845
0.7,"Chiephobozou, Kohima, Nagaland","NH2, Merima, Tsiese Basa, Chiephobozou, Kohima, Nagaland, 797105, India",0.422535211,0.663067293,0.422535211,0.650027085,0.016666667,0.179104478,0.16666667
0.45,"Patgaon Guwahati, Kamrup, Assam","Azara, Kamrup Metropolitan, Assam, 781013, India",0.208333333,0.629094982,0.462962963,0.648094809,0.013527575,0.066666667,0.13527575
0.3,"1243/a, dariyapur, allahabad Road, Sultanpur, Uttar Pradesh","NH330, Patti, Amethi, Uttar Pradesh, 230400, India",0.203389831,0.547269303,0.415584416,0.589167755,0.006320023,0.090909091,0.06320023
0.65,"Unnao, Uttar Pradesh","CHC,Bangarmau (Main Centre), SH38, Mallanwan, Safipur, Unnao, Uttar Pradesh, 206898, India",0.222222222,0.438888889,0.222222222,0.471404521,0.025,0.035294118,0.25
0.65,"Bijapur, Chhattisgarh","NH63, Bhopalpattnam, Bijapur District, Chhattisgarh, 494446, India",0.318181818,0.613997114,0.318181818,0.564076075,0.023809524,0.063492063,0.23809524
0,"Polytechnic Chauraha Jaunpur, Jaunpur, Uttar Pradesh","Mayo Clinic, 2nd Avenue Southwest, Rochester, Olmsted County, Minnesota, 55903, United States",0.204301075,0.535890949,0.306306306,0.488917712,0.008505917,0.058139535,0.08505917
0.65,"Ward No 4 Vikas Nagar, Una, Himachal Pradesh","Chauhan Eye Hospital, NH503, Una, Himachal Pradesh, 174300, India",0.461538462,0.673210123,0.513888889,0.691860773,0.010330579,0.032258065,0.10330579
0.6,"IIM Road, Ghaila, Lucknow, Uttar Pradesh","Career Institute Of Medical Sciences and Hospital, NH230, Lucknow, Sadar, Lucknow, Uttar Pradesh, 226020, India",0.288288288,0.555917281,0.324561404,0.555277708,0.011875,0.12745098,0.11875
0.35,"No. 1977/1 & 2, M.C.C. 'A' Block, Davangere, Karnataka","Ashraya Hospital, Bahanpur - Gadankeri Highway, Vidyagiri, Bagalkote, Bagalakote taluk, Bagalkote district, Karnataka, 587102, India",0.21969697,0.458754209,0.248322148,0.438245917,0.006687243,0.017699115,0.06687243
