Manual Score,Manual Hospital Address,address_py,Levenshtein Distance,Jaro Wrinkler Distance,Jaccard Distance,Cosine Distance,Monge Elkan Distance,BWTRLENCD Distance,Monge Elkan Distance*10
0.7,"Vidyanagar, Hubli, Dharwad, Karnataka","KIMS OPD, Casualty and Emergency, Ashok Nagar, Vidyanagar, Hubballi, Hubballi Taluku, Dharwad district, Karnataka, 580020, India",0.2890625,0.60325951,0.2890625,0.537645329,0.013513514,0.082644628,0.13513514
0.8,"Near Lahorighat Petrol Pump, Marigaon, Assam","Laharighat, Marigaon, Assam, 782127, India",0.25,0.622269493,0.50877193,0.674601053,0.009297521,0.159090909,0.09297521
0.51,"Jagadamba Junction, Vizag, Vishakhapatnam, Andhra Pradesh","King George Hospital, Costal battery rd, Maharani Peta, MTC Palem, Visakhapatnam, Visakhapatnam (Urban), Visakhapatnam, Andhra Pradesh, 530002, India",0.302013423,0.597587817,0.337662338,0.564251577,0.008002462,0.123966942,0.08002462
0.55,"Guntur, Andhra Pradesh","Hyma Hospital, 3rd Lane, Brindavan Gardens, Brodipet, Guntur, Andhra Pradesh, 522006, India",0.241758242,0.515925251,0.241758242,0.491689172,0.022727273,0.095238095,0.22727273
0.65,"1727, Tappal Road, Jewar Bangar, Gautam Buddha Nagar, Uttar Pradesh","NH334DD, Jewar, Gautam Buddha Nagar, Uttar Pradesh, 203133, India",0.417910448,0.679404261,0.62962963,0.772815985,0.00657162,0.126984127,0.0657162
0.35,"Jetur Kanakiya Plot, Opposite Taluka Panchayat, Near Bhadar Colony, Bus Stand Road, Rajkot, Gujarat","Dhoraji, Dhoraji Taluka, Rajkot, Gujarat, 360400, India",0.272727273,0.547163947,0.387387387,0.582732867,0.003979186,0.011363636,0.03979186
0.55,"Manassery P O Mukkam, Kozhikode, Kerala","KMCT Medical College, Sree Mechery Shiva Temple road, Manassery, Kozhikode, Kozhikode district, Kerala, 673602, India",0.247863248,0.57028897,0.289256198,0.518134857,0.01183432,0.144144144,0.1183432
0.8,"Jatah Lakadong, BPO Mawkynrew, East Khasi Hills, Meghalaya","Jatah, Mawkynrew, East Khasi Hills, Meghalaya, India",0.655172414,0.870965959,0.803278689,0.892237375,0.007877527,0.232142857,0.07877527
0.6,"Kanyakumari, Tamil Nadu","Holy Cross Hospital, Christhu Nagar Road, Prayera Colony, RV Puram, Nagercoil, Agastheeswaram, Kanyakumari District, Tamil Nadu, 629003, India",0.161971831,0.512945714,0.161971831,0.402457241,0.02173913,0.023255814,0.2173913
0.3,"Dhanera, Banaskantha, Gujarat","Jyoti Maternity Hospital, Satellite Road, Panjrapole, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380015, India",0.169230769,0.531844975,0.213740458,0.456023639,0.016646849,0,0.16646849
0.4,"Dildarnagar, Ghazipur, Uttar Pradesh","Phooli, Zamania, Ghazipur, Uttar Pradesh, 232329, India",0.509090909,0.689969588,0.542372881,0.71914652,0.013117284,0.113207547,0.13117284
0.6,"Seoni, Madhya Pradesh","Indira Gandhi District Hospital, SH42, Seoni, Seoni Tahsil, Seoni, Madhya Pradesh, 480661, India",0.21875,0.533399471,0.21875,0.467707173,0.023809524,0.069767442,0.23809524
0.6,"Dindigul, Tamil Nadu","Kanna Hospital, Aarthi Theatre road, Dindigul, Dindgul District, Tamil Nadu, 624001, India",0.222222222,0.57037037,0.222222222,0.471404521,0.025,0.049382716,0.25
0.55,"27-14-13/A, West Godavari, Andhra Pradesh","Imperial Hospitals, Bhimavaram - Gudivada Road, Sivaraopeta, Bhimavaram, West Godavari, Andhra Pradesh, 534202, India",0.273504274,0.485985785,0.284552846,0.505339429,0.011005354,0.079207921,0.11005354
0.65,"Othakkalmandapam, Coimbatore, Tamil Nadu","Karpagam Medical College & Hospital, Karpagam College Road, Othakalmandapam, Coimbatore South, Coimbatore District, Tamil Nadu, 641032, India",0.269503546,0.584992972,0.274647887,0.51930805,0.0125,0.126984127,0.125
0.6,"Village Post Bahuaara, Sonbhadra, Uttar Pradesh","Pannuganj Road, Robertsganj, Sonbhadra, Uttar Pradesh, 231216, India",0.455882353,0.686882485,0.575342466,0.742926595,0.009732911,0.125,0.09732911
0.55,"Mandvi Bhuj Road Near Vrti Maska, Kachchh, Gujarat","Moti Nagalpar, નાગલપર, Mandvi Taluka, Kutch District, Gujarat, 370405, India",0.289473684,0.632019683,0.5,0.681329969,0.0092,0.125,0.092
